question;reponse;reponse
bonjour, que se passe-t-il?;116;L operation de l oeil droit n a pas eu lieu car mon taux de Sucre etait trop eleve   il faut repoussser en September
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;34;TVB Merci infiniment  Marija Kekic
Merci de votre réponse. Si besoin vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi entre 09:00 et 17:00 et au 01.00.00.00.00 le samedi;54;Merci beaucoup je vous souhaite une très bonne journée
Bonjour, nous n'avons pas reçu le résultat de votre ECBU. Pouvez vous nous le faire parvenir rapidement. Cordialement,;147;Bjr je ne l'ai pas, j'appelle tous les jours. Il y a 3 germes identifiés, l'antibiogramme devrait être dispo demain. J'ai prévenu le Dr Lonca. Cdlt
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;26;Je m'excuse pour le retard
Apportez vos médicaments et votre ordonnance;15;merci bien reçu
Nous vous attendons le **/date_demarrage**/ à l'UCA bat Babinski, étage RB. Pour toute question vous pouvez nous joindre au 01.00.00.00.00 ou 81, de 7h à 19h. Vous pouvez prendre un petit déjeuner. Si vous etes diabétique petit dejeuner OBLIGATOIRE. Prenez l'ensemble de votre traitement habituel.;32;Merci beaucoup à demain à 08h15.
"Hopital de la Pitié Salpetrière : Evaluez de nouveau votre douleur sur une échelle de 0 à 10 (0 = pas de douleur; 10 = douleur insupportable)";13;O pas douleur
Un accompagnant est obligatoire pour votre sortie;10;C est noté
Hopital Tenon : évaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);11;10 tiptAupe
CH de Gonesse : suite à votre opération, si vous rencontrez des signes anormaux (douleurs, saignements,...) répondez SIG;41;Aucun problème ni douleurs ni saignements
Un accompagnant sera obligatoire pour votre retour à domicile et il devra etre présent à vos cotés jusqu'au lendemain matin;39;Je n'ai pas reçu le dossier d'admission
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 ou 01.00.00.00.00 de 9h à 15h;93;Bonjour merci pour vos bons soins tout va bien pas de douleur l'équipe a été formidable merci
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;60;Bonjour je souhaiterais échanger avec un responsable digital
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;30;La prise en charge niveau 5 vu
Prenez vos médicaments selon les consignes recues et apportez le matériel s'il vous a été prescrit (béquilles, bandes de contention, );28;Merci pour toutes ces infos.
Si vous avez demandé à voir le médecin radiologue et que vous l'avez effectivement rencontré, répondez VU;29;Très satisfait merci beaucoup
"Merci de votre réponse. Dans le cadre d'un programme de suivi de la douleur post-opératoire, évaluez votre douleur sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable)";16;0 pour le moment
Vous n'avez répondu à aucun message, répondez y maintenant. Si tout va bien répondez maintenant TVB;59;Bonjour pour l instant TVB la douleur est supportable merci
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;91;Très satisfaite, échelle de 5 , non je n'es pas demandé avoir un médecin . Merci à l'équipe
Hopital Sainte-Jane: suite à votre intervention, si tout va bien, répondez TVB sinon répondez AID;23;Oui ça va bien et Merci
Bonjour - Votre opération est prévue le  **/date_demarrage_date**/ à l'hopital Lariboisière. Vous recevrez une confirmation de l'heure de convocation la veille. Un accompagnant est OBLIGATOIRE pour votre sortie. Si vous avez un empechement ou un problème de santé, répondez ALERTE à ce sms;43;Alerte.intervention annulée il y a un mois.
Merci pour votre confiance. Votre satisfaction étant notre priorité, nous vous invitons à nous laisser un avis 5 étoiles sur notre page GOOGLE via le lien ci-dessous : https://example.com;52;Merci  , une  bonne  prise en charge et un bon suivi
Merci le service va vous contacter.;83;AID votre service est lamentable...depuis le 14 juin que vous deviez nous contacter
Etes-vous satisfait de votre prise en charge à l'Hopital Privé John Cartier ? Répondez un chiffre (1: pas du tout satisfait à 5: très satisfait);16;8 très satisfait
Ne pas manger, ne pas fumer, ne pas boire à partir de **/jeune_solides**/. Sont seuls autorisés l'eau, le café ou le thé sucré sans lait jusqu'à **/jeune_liquides**/;74;a ajouté un j'aime à Hopital port Royal: Nous vous attendons à l'unité ...
CH Chartres : Nous vous attendons à l'unité de chirurgie ambulatoire de l'hôpital John Pasteur le **/heure_convocation**/ Si un test PCR vous a été demandé et que ce dernier est positif ou que vous n’en avez pas le résultat répondez PCR Si vous avez un empêchement ou un problème de santé, répondez ALERTE;23;Message bien reçu Merci
Hopital privé Sainte-Jane : nous vous confirmons votre horaire définitif en Ambulatoire le **/heure_convocation_apres_9h00**/;16;Merci à demain !
Apportez vos dernières radios ou examens et le passeport ambulatoire.Remettez le pass parking à votre accompagnant. Venez avec des vetements amples, sans maquillage ni vernis à ongles. N'apportez ni bijoux, ni objets de valeur, ni argent liquide, Dépilez la zone de chirurgie à l'aide d'une tondeuse ou de crème dépilatoire;323;Apportez vos dernières radios ou examens et le passeport ambulatoire.Remettez le pass parking à votre accompagnant. Venez avec des vetements amples, sans maquillage ni vernis à ongles. N'apportez ni bijoux, ni objets de valeur, ni argent liquide, Dépilez la zone de chirurgie à l'aide d'une tondeuse ou de crème dépilatoire
Ne pas manger, ne pas fumer / vapoter, ne pas boire, pas de chewing-gum à partir de **/jeune_solides**/. Sont seuls autorisés l'eau, les jus clairs (raisin, pomme), le café ou le thé sucré sans lait jusqu'à **/jeune_liquides**/;37;Merci infiniment pour tout. à demain.
Arrêt de toute alimentation à partir de **/jeune_solides**/. Boire de l'eau est autorisé jusqu'à **/jeune_liquides**/.  Cas particulier : pour les enfants de moins d'un an, alimentation au lait artificiel jusqu'à **/jeune_lait**/  Alimentation au sein autorisée jusqu'à **/jeune_sein**/;73;a ajouté un J'adore Hopital Necker : Nous vous attendons au Service d'...
Vous n'avez répondu à aucun sms. Répondez-y maintenant ou si tout va bien, répondez TVB;71;Quelques petite douleur ce matin , un Doliprane et tout va bien ! Merci
Merci pour votre réponse, votre RDV est annulé, nous vous contacterons pour reprendre un RDV;73;Sauf erreur de ma part je n'ai pas reçu par mail mon rdv du 05/07 à 10:40
Pour toute question ou problème vous pouvez appeler la chirurgie ambulatoire au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, le weekend et jours fériés, contactez les numéros indiqués sur la pochette de sortie;14;TVB. Douleur 0
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;31;Bonjour TVB merci bonne journée
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;49;Oui tout va bien je vous ai répondu  2 fois Merci
Vous n'avez répondu à aucun SMS. Répondez y maintenant, ou si tout va bien répondez TVB.;16;2: inconfortable
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;13;très satifait
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB.;145;Grattage désagréable. Un peu de fièvre malgré le Dolipranes. Difficile pour mettre les traitements pas de saignements ni n osé depuis cette nuit.
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;74;Je regrette seulement d'être convoquée a9h30 pour être opérée à 12h30 ....
Si vous avez consulté un médecin généraliste ou spécialiste ou etes venu aux Urgences de facon non prévue suite à votre intervention, répondez MED;23;10 pour la satisfaction
Si vous avez consulté un médecin généraliste ou spécialiste ou etes venu aux Urgences de facon non prévue suite à votre intervention, répondez MED;12;Merci à vous
Pour toute question ou problème vous pouvez appeler la chirurgie ambulatoire au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, le weekend et jours fériés, contactez les numéros indiqués sur la pochette de sortie;78;Bonjour,tout va bien douleur 0. Pas de problème. Je vous remercie cordialement
Si vous avez consulté un médecin généraliste ou spécialiste ou etes venu aux Urgences de facon non prévue suite à votre intervention, répondez MED;17;1 pour la douleur
Vous n'avez répondu à aucun message. Répondez-y maintenant ou si tout va bien, répondez TVB;16;C déjà répondu !
Merci de votre réponse. Si vous avez un commentaire, mettez le dans un 2eme SMS;159;La pose du cathéter m'a fait trés mal à la main et j'ai dû patienter une heure avec cette douleur intense avant de passer au bloc. Tout le reste était parfait.
Vous n'avez répondu à aucun SMS. Répondez y maintenant, ou si tout va bien répondez TVB.;22;Je suis à 5 sur 10 TVB
Pontchaillou : Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;53;Bonjour je n'es pas eu d intervention j avais annuler
Vous n'avez pas répondu au dernier message. Si tout va bien, répondez TVB;45;ça va mieux maintenant mais j'ai eu trés mal.
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;44;Désolé, ses messages ne me sont pas destinés
Hopital Lariboisière - Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait)  Si vous avez un commentaire, mettez le dans un 2e SMS.;93;Das Neves Rodrigues  RDV dê suivi post opératoire C'est bien 26 /06/24 15h30 Dr Danese Jane ?
BONJOUR, merci pour votre retour, si toutefois le doliprane n'est pas suffisant, appelez le numéro que vous avez sur la pochette de sortie et un interne fera une nouvelle ordonnance. Bon rétablissement.;17;Ok Merci beaucoup
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;30;Oui  tout va bien  T V B merci
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;14;Mauvais numéro
Vous n'avez pas répondu au dernier message. Si tout va bien, répondez TVB;17;Opération annulée
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;11;ça va merci
Si vous avez pris les médicaments contre la douleur, répondez PRIS, sinon prenez-les maintenant et renvoyer une évaluation de votre douleur dans 45 mn;10;Oui, à 13h
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Les Martinets ? (0 très peu probable; 10 très probable)";17;10 sans hésiter !
Si vous avez des nausées ou des vomissements répondez NVO, si vous avez un saignement important répondez SNG, si vous avez de la fièvre >38,5 répondez FIE, si vous n'urinez pas normalement répondez PIPI;76;Bonjour, la douleur est 5/6. Tous le reste est parfait. Merci. Bonne journée
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;12;Tout va bien
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;123;Bonjour Nous aurions besoin des résultats eu plus tôt car avons Rv avec le professeur creange en juillet. Merci par avance.
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;12;Tout va bien
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;12;Tout va bien
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;15;5 pris non  vis
Vous n'avez pas répondu aux messages précédents, si tout va bien répondez TVB. En cas de problème, vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, veuillez vous référer aux num de téléphone inscrits sur le document remis à la sortie;17;Tout est ok merci
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez le maintenant et renvoyez une évaluation de votre douleur dans 45 min;38;Je n'ai pas de traitement anti douleur
Vous n'avez répondu à aucun SMS. Répondez y maintenant, ou si tout va bien répondez TVB.;14;Très satisfait
Si votre température est supérieure à 38 ou si vous avez des saignements répondez simplement les 3 lettres OUI;45;Douleur : 5 Pas de vomissements ni de nausées
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;21;évaluation passage 10
Prenez une douche le matin de l'intervention Ne mettez ni bijoux, ni piercing, ni vernis, ni maquillage.Vous pouvez boire et manger. Prenez vos médicaments comme d'habitude. N'oubliez pas votre passeport ambulatoire et les informations concernant votre prise en charge chirurgicale;12;A vous aussi
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'HEGP? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);180;Note de 5 : tout était parfait sauf qu'on ne m'a pas averti que 3 gouttes de pipi ne suffisait pas à ma sortie : j'ai dû revenir le lendemain et me faire poser une sonde urinaire !
